Offense #,Date,Day,Time,Day_Part,Location/Address,Premise,In_out,Call_Type,Race_subj,Race_color,Gender_subj,Age_subj,Injuries_subj,Weapon_subj,Ofc_present,no_ofc_shooters,Officer_Name,Rank_ofc,Race_ofc,Gender_ofc,Age_ofc,Jurisdiction,LE_Experience,Caliber_ofc,Weapon_ofc,Shots_ofc,Hits,How_Cleared,Location_1,Latitude,Longitude
06-0011398,1/1/06 0:00,Sun,6:45,Day,5402 Lark Creek Dr,Residence,Inside,hostage/barricade,Hispanic,'#0F0',Male,43,killed,gun,8,2,Ofc. Jeff Dwyer,ofc,White,Male,34,APD,8,0.308,rifle,1,,No Billed by Grand Jury,"5402 Lark Creek Dr
Austin, TX
(30.194748, -97.735462)",30.194748,-97.735462
04-2900302,10/16/04 0:00,Sat,2:32,Night,6607 Brodie Ln,Parking Lot,Outside,NA - off duty,Unknown,#000',Unknown,Unknown,unk,vehicle,1,1,Ofc. Mark Donnan Keithly,other agency - ofc,White,Male,41,TPWD,2,0.4,semi-auto,1,unk,unk,"6607 Brodie Ln
Austin, TX
(30.217216, -97.828224)",30.217216,-97.828224
05-3431923,12/10/05 0:00,Fri,20:14,Evening,4800 Ribbecke Ave,Street,Outside,traffic stop,Hispanic,'#0F0',Male,22,None,gun,2,1,Ofc. Reynaldo Canizales,ofc,Hispanic,Male,33,APD,3,0.4,semi-auto,1,1,No Billed by Grand Jury,"4800 Ribbecke Ave
Austin, TX
(30.279827, -97.683613)",30.279827,-97.683613
02-922171076,8/5/02 0:00,Mon,15:41,Evening,1900 W Ben White Blvd Svrd WB,Street,Outside,robbery,Black,'#F00',Male,24,shot (injured only),gun,3,1,Ofc. Jason Bryant,ofc,White,Male,29,APD,5,0.4,semi-auto,3,2,No Billed by Grand Jury,"1900 W Ben White Blvd Svrd WB
Austin, TX
(30.229915, -97.787185)",30.229915,-97.78185
"10-5068185
10-3572205",12/23/10 0:00,Thur,22:53,Night,13006 Campos Dr,Street,Outside,traffic stop,White,'#FOF',Male,35,killed,knife,2,1,Ofc. Frank Wilson V,ofc,Black,Male,36,APD,6,0.4,semi-auto,1,1,No Billed by Grand Jury,"13006 Campos Dr
Austin, TX
(30.438009, -97.740491)",30.438009,-97.740491
"13-5048070
13-5048073
13-2911294",10/18/13 0:00,Fri,15:20,Evening,1609 Cripple Creek Dr,Yard/Courtyard,Outside,shots fired,White,'#FOF',Male,44,shot (injured only),rifle,5,3,Ofc. Cory Knop,ofc,White,Male,29,APD,2,0.223,rifle,4,1,No Billed by Grand Jury,"1609 Cripple Creek Dr
Austin, TX
(30.379773, -97.704626)",30.379773,-97.704626
05-3080810,11/4/05 0:00,Fri,10:57,Day,1500 Spyglass Dr,Park,Outside,hostage/barricade,White,'#FOF',Male,36,shot (injured only),shotgun,1,1,Cpl. David Austin,cpl,White,Male,45,APD,21,0.308,rifle,1,1,No Billed by Grand Jury,"1500 Spyglass Dr
Austin, TX
(30.25866, -97.786731)",30.25866,-97.786731
"13-5002063
13-0141039",1/14/13 0:00,Mon,15:30,Evening,7112 Ed Bluestein Blvd SVRD SB,Parking Lot,Outside,shots fired,Black,'#F00',Male,51,None,gun,2,2,Ofc. Roosevelt Granderson,ofc,Black,Male,39,APD,12,0.4,semi-auto,9,0,No Billed by Grand Jury,"7112 Ed Bluestein Blvd SVRD SB
Austin, TX
(30.312799, -97.662825)",30.312799,-97.662825
07-2950370,10/22/07 0:00,Mon,6:19,Day,6102 Club Terrace,Residence,Inside,warrant,Hispanic,'#0F0',Male,72,shot (injured only),gun,6,1,Det. Aaron Bishop,det,White,Male,43,APD,12,0.4,semi-auto,1,1,No Billed by Grand Jury,"6102 Club Terrace
Austin, TX
(30.234872, -97.700394)",30.234872,-97.700394
01-922880197,10/15/01 0:00,Mon,3:27,Night,2611 Bee Caves Rd,Parking Lot,Outside,BOV,Hispanic,'#0F0',Male,Unknown,unk,,2,2,Ofc. Robert Barboza,ofc,Hispanic,Male,31,APD,6,9mm,semi-auto,2,0,No Billed by Grand Jury,"2611 Bee Caves Rd
Austin, TX
(30.267081, -97.785185)",30.267081,-97.785185
"13-5017606
13-1131720",4/23/13 0:00,Tues,20:40,Evening,706 Valdez St,Yard/Courtyard,Outside,disturbance,White,'#FOF',Male,54,killed,rifle,4,4,Ofc. Nicholas Moore,ofc,White,Male,30,APD,3,5.56,rifle,9,7,No Billed by Grand Jury,"706 Valdez St
Austin, TX
(30.234556, -97.69197)",30.234556,-97.69197
07-0730438,3/14/07 0:00,Wed,8:12,Day,7112 Ed Bluestein Blvd SB #A,Parking Lot,Outside,disturbance,Black,'#F00',Male,27,None,knife,2,1,Ofc. Wayne Williamson,ofc,Black,Male,40,APD,9,0.4,semi-auto,3,0,not presented to grand jury (DA declined),"7112 Ed Bluestein Blvd SB #A
Austin, TX
(30.312799, -97.662825)",30.312799,-97.662825
"13-5009062
13-0600435",3/1/13 0:00,Fri,7:32,Day,10617 Lanshire Dr #B,Residence,Outside,shots fired,White,'#FOF',Male,70,killed,gun,1,1,Ofc. Johnathan Whitted,ofc,White,Male,33,APD,4,0.4,semi-auto,2,2,No Billed by Grand Jury,"10617 Lanshire Dr #B
Austin, TX
(30.38413, -97.708018)",30.38413,-97.708018
01-922081328,7/27/01 0:00,Fri,20:33,Evening,1200 W Rundberg Ln,Street,Outside,onscene,Hispanic,'#0F0',Male,40,killed,hammer,1,1,Ofc. Steven McCurley,ofc,White,Male,26,APD,1,0.4,semi-auto,1,1,No Billed by Grand Jury,"1200 W Rundberg Ln
Austin, TX
(30.36697, -97.705077)",30.36697,-97.705077
01-922880197,10/15/01 0:00,Mon,3:27,Night,2611 Bee Caves Rd,Parking Lot,Outside,BOV,Hispanic,'#0F0',Male,Unknown,unk,,2,2,,,,,,APD,6,9mm,,2,0,,"2611 Bee Caves Rd
Austin, TX
(30.267081, -97.785185)",30.267081,-97.785185
"11-5038917
11-2271207",8/15/11 0:00,Mon,16:50,Evening,3630 S Congress Ave,Street,Outside,robbery,White,'#FOF',Male,21,None,gun,3,2,Ofc. Branden Kunkel,ofc,White,Male,38,APD,3,0.4,semi-auto,2,,No Billed by Grand Jury,"3630 S Congress Ave
Austin, TX
(30.227169, -97.761643)",30.227169,-97.761643
"13-5017606
13-1131720",4/23/13 0:00,Tues,20:40,Evening,706 Valdez St,Yard/Courtyard,Outside,disturbance,White,'#FOF',Male,54,killed,rifle,4,4,Ofc. Matthew Henion,ofc,White,Male,28,APD,2,5.56,rifle,2,7,No Billed by Grand Jury,"706 Valdez St
Austin, TX
(30.234556, -97.69197)",30.234556,-97.69197
"11-5023381
11-1290071",5/9/11 0:00,Mon,1:03,Night,1919 Burton Dr,Yard/Courtyard,Outside,disturbance,Hispanic,'#0F0',Male,30,killed,gun,2,1,Ofc. Steven Peña,ofc,Hispanic,Male,27,APD,3,12 gauge,shotgun,3,3,No Billed by Grand Jury,"1919 Burton Dr
Austin, TX
(30.233849, -97.731703)",30.233849,-97.731703
03-920050340,1/5/03 0:00,Sun,3:56,Night,305 Shant St,Parking Lot,Outside,NA - off duty,Black,'#F00',Male,36,shot (injured only),physical force,1,1,"Ofc. Dewayne ""Bruce"" Friar",ofc,White,Male,37,APD,5,9mm,semi-auto,1,1,No Billed by Grand Jury,"305 Shant St
Austin, TX
(30.169536, -97.793635)",30.169536,-97.793635
14-2511591,9/8/14 0:00,Mon,19:38,Evening,13712 Maye Pl.,Residence,Outside,warrant,White,'#FOF',Male,24,killed,gun,3,3,Det. Philip Hogue,det,White,Male,41,APD,17,0.4,semi-auto,1,,unk - TCSO investigation,"13712 Maye Pl.
Austin, TX
(30.426212, -97.67312)",30.426212,-97.67312
"10-5055642
10-2680066",9/25/10 0:00,Sat,4:26,Night,7800 E Ben White Blvd WB,Street,Outside,check welfare,White,'#FOF',Male,26,killed (self-inflicted),gun,30,1,Cpl. Javier Bustos,cpl,Hispanic,Male,42,APD,11,0.45,semi-auto,1,1,No Billed by Grand Jury,"7800 E Ben White Blvd WB
Austin, TX
(30.219633, -97.689725)",30.219633,-97.689725
07-0800024,3/21/07 0:00,Wed,0:19,Night,1205 Silverton Ct,Residence,Inside,disturbance,Hispanic,'#0F0',Male,50,shot (injured only),gun,1,1,Ofc. Roger Boudreau,ofc,White,Male,32,APD,4,0.4,semi-auto,8,2,No Billed by Grand Jury,"1205 Silverton Ct
Austin, TX
(30.385039, -97.66053)",30.385039,-97.66053
"09-5072203
09-3620161",12/28/09 0:00,Mon,2:54,Night,11815 Johnny Weismuller Ln,Residence,Outside,disturbance,Black,'#F00',Male,38,killed,gun,3,2,Ofc. Justin Berry,ofc,White,Male,24,APD,2,0.4,semi-auto,1,1,No Billed by Grand Jury,"11815 Johnny Weismuller Ln
Austin, TX
(30.151187, -97.843453)",30.151187,-97.843453
"08-5059600
08-3110300",11/6/08 0:00,Thur,3:56,Night,6603 Berkman Dr,Parking Lot,Outside,disturbance,Hispanic,'#0F0',Male,23,killed,gun,3,1,Ofc. Will Ray,ofc,White,Male,23,APD,1,0.4,semi-auto,4,2,No Billed by Grand Jury,"6603 Berkman Dr
Austin, TX
(30.319271, -97.689385)",30.319271,-97.689385
"13-5052096
13-3141499",11/10/13 0:00,Sun,21:17,Evening,2900 Cole St #204,Yard/Courtyard,Inside,check welfare,Hispanic,'#0F0',Male,30,shot (injured only),gun,9,2,Ofc. Adrien Chopin,ofc,White,Male,34,APD,2,0.223,rifle,2,1,No Billed by Grand Jury,30.2878759,-97.7255032,
